filename,sentence,labels,abstract,heading
11992-1-22158-1-10-20150206.txt,"Informasi dalam bentuk teks adalah informasi yang penting dan banyak didapatkan dari berbagai sumber seperti buku, surat kabar, situs web, ataupun pesan e - mail.",OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,"Teks merupakan sebuah hamparan bahasa, baik dalam pembicaraan ataupun dalam tulisan, yang memiliki makna, bersifat praktis dan berguna untuk umum serta berhubungan dengan dunia nyata ( Bolshakov & Gelbukh [2]).",OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,Sebuah teks dapat terdiri dari hanya satu kata ataupun susunan kalimat ( Carter & McCarthy [3]).,OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,"Pengambilan informasi dari teks ( text mining) antara lain dapat meliputi kategorisasi teks atau dokumen, analisis sentimen ( sentiment analysis), pencarian topik yang lebih spesifik ( search engine), serta spam filtering.",OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,"Gagasan umum text mining adalah untuk mengetahui cakupan atau topik dari permasalahan dalam teks ( Maning, et al.[6]).",OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,"Text mining penting dalam analisis sentimen sebagai pengidentifikasi emosional suatu pernyataan, sehingga banyak studi tentang analisis sentimen dilakukan ( Zhang, et al.[12]).",BACKGROUND,1,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,"Analisis sentimen adalah studi komputasi dari opini - opini, sentimen, serta emosi yang diekspresikan dalam teks ( Liu [5]).",OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,"Tugas dasar dalam analisis sentimen adalah mengelompokkan polaritas dari teks yang ada dalam dokumen, kalimat, atau pendapat.",OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,"Polaritas mempunyai arti apakah teks yang ada dalam dokumen, kalimat, atau pendapat memiliki aspek positif atau negatif.",OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,Salah satu teknik pembelajaran mesin untuk analisis sentimen adalah Naive Bayes classifier ( NBC).,OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,NBC merupakan teknik pembelajaran mesin yang berbasis probabilistik.,OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,"NBC adalah metode sederhana tetapi memiliki akurasi serta performansi yang tinggi dalam pengklasifikasian teks ( Routray, et al.[9]).",OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,Banyak ide telah muncul selama beberapa tahun belakangan tentang teknik pembelajaran mesin untuk permasalahan analisis sentimen.,OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,"Xhemali, et al.[11] berkonsentrasi pada perbandingan tiga metode.",OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,"Metode - metode tersebut adalah Naive Bayes, Pohon Keputusan, dan Neural Networks.",OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,Hasil penelitian secara keseluruhan menunjukkan bahwa Naive Bayes classifier adalah pilihan terbaik untuk pelatihan domain.,OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,Metode berbasis leksikon untuk melakukan analisis sentimen pertama kali diterapkan oleh Zhang et al.[12].,OTHERS,0,1. PENDAHULUAN
11992-1-22158-1-10-20150206.txt,Metode ini dapat memberikan presisi yang tinggi tapi recall yang rendah.,OTHERS,0,1. PENDAHULUAN
